st1,st2,st3,area
960605,051140,021098,
950497,950498,051140,
020859,950109,020848,
950101,020859,020848,
02P213,052007,021098,
052007,960603,021098,
960603,052007,02P213,
960605,960604,02P213,
960604,960603,02P213,
960604,960605,021098,
960603,960604,021098,
960602,960605,02P213,
960605,960602,051140,
950498,960751,051140,
950102,02P201,020848,
93022,960602,02P213,
960602,02P208,051140,
960751,950500,131200,
950500,960698,131200,
960747,960748,950498,
950456,950102,131200,
950376,960602,950314,
950382,960527,950102,
950456,950382,950102,
960750,960751,950498,
960748,960750,950498,
960750,950500,960751,778438134.1370385
960743,960747,950498,
960743,960748,960747,
960748,960743,960698,
031113,02P208,960602,
950376,031113,960602,
020875,950106,950102,
960746,940085,02P211,
940085,960746,031122,
960746,950497,051140,
031122,960746,051140,
960750,960749,950500,
960749,960750,960748,
950500,960749,960698,
960749,960748,960698,
111190,950498,950497,
960602,091178,950314,
141202,091178,960602,
950382,950252,960527,
950252,950232,960527,
940008,950106,970785,
950106,960501,950102,
02P201,940001,020848,
950104,960501,950106,
020859,020864,950109,219539385.30899912
940004,020864,020859,426306084.71536565
940002,960503,020859,
960504,020854,020858,344854850.1314399
020854,960504,940002,242632594.7007716
02P122,021059,021080,
960743,960739,960698,
960739,960736,960698,
960734,960729,960698,
960736,960734,960698,
960746,960731,950497,
960731,960732,950497,
960692,960691,960698,
960729,950487,960698,
950456,950408,960668,
960550,93022,02P213,
950106,970783,940003,482056042.8568664
940008,970783,950106,
950104,970781,020852,295934445.47654676
970781,950106,940003,461304041.10820276
970781,950104,950106,
950104,970778,960501,
970778,02P201,950102,
960501,970778,950102,306869363.65585995
970778,940001,02P201,
020851,950104,020852,214423997.32747516
020855,970782,020852,704529732.0482285
020855,970781,940003,137570381.91128442
970781,020855,020852,383043525.13389826
970783,020855,940003,160661358.8512428
960503,020856,950111,290141568.8174641
020856,960503,940002,167388654.07365727
020856,960504,950111,316812440.93262434
960504,020856,940002,263611426.93723226
950103,020859,950101,
950103,940002,020859,
020854,950107,020858,243508098.93206462
02P118,960645,950382,
940075,950383,960668,
950383,950456,960668,
950383,950382,950456,
950386,950383,940075,
021059,021088,02P211,
021088,021059,02P122,
960745,111190,950497,
021094,960745,950497,
960736,960738,960737,301182455.1898234
960744,960743,950498,
111190,960744,950498,
960735,960734,960736,
960726,960731,960746,
950457,950458,950456,
960691,950457,960698,
960698,950457,131200,
950457,950456,131200,
950459,950457,960691,
950457,950459,950458,
960692,081168,970832,
950487,081168,960692,
950462,960692,960698,218760164.9864412
950487,950462,960698,
950462,950487,960692,
021060,950408,950456,
950235,950253,950245,
950253,950235,950252,
950318,950320,960638,154548827.4224585
020849,970778,950104,411602116.6019802
020851,020849,950104,400816497.74997854
970778,020849,940001,219772769.07755738
020849,020851,950101,458929638.52229714
020849,950101,020848,322412580.0206533
940001,020849,020848,217490597.8736011
950113,950115,020864,123217191.63504122
020864,950115,950109,151356136.81944966
020851,020850,950101,449455996.124434
020850,950105,950103,279580811.102762
970782,950105,020852,362282538.90095484
950105,020851,020852,171252407.56948367
950105,020850,020851,302116473.7266084
950105,970780,950103,483308270.69640046
940020,020888,020875,
960527,940020,950102,
940020,020875,950102,
020888,940017,950143,
940017,950145,950143,437197377.0062261
940020,940017,020888,
940017,940020,950145,695581859.088192
020860,020855,970783,236441152.4355078
020860,970783,940008,323772330.4638639
960509,020860,940008,498736242.10765195
960510,960504,020858,829768553.0980623
950408,960669,960668,
960669,950407,960668,529273649.97229606
02P209,940075,960668,
950388,02P209,960668,
02P119,950388,960668,
950388,02P119,021025,
950407,02P119,960668,
950412,950411,950413,240976951.6772028
960669,950411,950407,271992506.35275364
021016,021014,950382,
021014,02P118,950382,
021046,940077,960767,
031118,970828,021080,707439570.3983719
021022,950386,940075,120079189.51001324
950386,950384,950383,
021059,041133,021080,
041133,031118,021080,447562627.93184507
960742,960739,960743,
960744,960742,960743,
960742,960744,960739,328619529.3787223
960739,950496,960736,
021095,950496,960739,
950496,960738,960736,334540259.4145979
960744,02P212,960739,
02P212,021095,960739,
02P212,960744,111190,
960738,960740,021094,117754064.77222405
950496,960740,960738,292682766.87748355
950495,960736,960737,375057578.213055
950495,960735,960736,
960735,950495,950497,
950495,021094,950497,
960738,950495,960737,53275960.96298574
950495,960738,021094,
960735,141208,960734,
950494,960730,960729,
960730,950494,960732,323523520.932756
960730,960731,960729,
960731,960730,960732,208255420.34262624
960725,950487,960729,
950460,950459,960691,
960692,950460,960691,
950460,960692,970832,
021065,021062,950458,
950458,021062,950456,
021062,021060,950456,
021060,021062,940087,124441831.42536566
960725,960777,950487,
93055,02P206,960594,
93022,95113,960602,
95113,141202,960602,
93021,950226,93022,
950226,95113,93022,
950252,960565,950232,
950235,960565,950252,
940028,950167,111184,26709672.992512964
940066,03P214,960637,
940068,021010,021009,114442532.67326683
021010,950366,111188,199263054.80580848
021010,940068,950366,113020733.7478716
031111,021000,950373,40359483.5588677
031111,950316,021000,72945346.3504196
950334,960763,960764,128059084.11796248
970825,021000,111188,119851880.42522633
021000,970825,950373,130644559.83877467
021011,950370,051146,210827856.82704407
950366,950370,111188,220660809.25253707
950370,970825,111188,106622756.75123882
970825,950370,021011,255754594.04161608
970825,041130,950373,168580819.20927626
041130,970825,021011,184755568.99889034
950368,031109,051146,116728816.14238165
031109,950368,940069,81350066.52168915
960652,031109,940069,65063048.56624795
071160,071161,950314,
071161,950306,950314,
950317,950318,960638,130117868.21868667
950317,940056,950318,75019492.88687687
950285,950317,960638,226795306.5258831
950352,950351,950349,148620632.2392543
950351,950352,950356,137407748.5104979
960519,940009,950167,
950119,960519,021098,
970779,950103,950101,71262836.79134932
020850,970779,950101,162695476.7725673
970779,020850,950103,143018049.36549827
020853,950107,020854,355575641.9631609
020853,970780,950105,432531747.50588053
950107,020853,970782,385824421.06635743
020853,950105,970782,491435891.74845946
950145,02P102,960530,
940020,02P102,950145,
02P102,940020,960527,
950140,020888,950143,
940021,950145,960530,117794423.76193571
970794,940021,960530,261392161.98284253
950145,940021,950143,192483099.434973
940021,970794,950143,334362809.1929466
081173,020892,020894,341044719.86560166
950139,081173,950141,
020855,950110,970782,599605460.4107051
020860,950110,020855,346535238.73513466
950110,020860,960509,400858386.9596532
020870,020864,940004,606455163.7244827
020870,950113,020864,293303008.8573849
960513,950122,940005,418384767.7846627
02P119,940076,021025,
940076,02P119,950407,
081167,950341,960645,131687860.63792695
960680,970829,031117,96908843.6906403
021046,141205,970830,
960658,950388,021025,178433107.20236632
950399,021022,940075,256843924.99963593
021018,950384,021020,154497192.15792644
950384,021018,950383,
021088,950483,02P211,
960715,950483,021088,123927063.96622883
021096,02P212,111190,
02P212,021096,021095,
960745,021096,111190,84369950.3322231
02P124,021096,960745,
021096,02P124,021095,
02P124,960745,021094,
960741,950496,021095,50698993.16897691
960741,960740,950496,178240850.83252206
02P124,960741,021095,
960740,960741,021094,78581149.54359962
960741,02P124,021094,
141208,960733,960734,
960734,960733,960729,
960733,950494,960729,
950494,960733,960732,
960732,960733,950497,
960733,960735,950497,
960733,141208,960735,
950484,960715,950482,510093597.777407
950484,950483,960715,200128901.6336653
950492,960746,02P211,
950492,960726,960746,
950459,960690,950458,
950460,960690,950459,160013580.26269656
081168,02P210,970832,
021091,960777,940098,192609709.06232995
021092,021091,940098,211952190.6215248
021062,950451,940087,224112702.9144045
021075,940093,950468,161186385.44305554
950485,021075,950468,209989036.25037295
021075,950485,950469,250610009.52165267
021075,960702,940093,159506973.8264131
960705,950471,021078,134690506.64605674
960686,950471,950413,
950471,960705,950413,
021039,960686,950413,307644226.8966022
950411,021039,950413,200877696.8572253
021039,950411,960669,328651945.47313166
950452,960710,940089,137253090.3936072
960710,950452,960688,243447606.73086214
950474,950477,021081,237717096.48344958
02P206,960759,960594,
93034,960759,93067,121887672.3295361
960759,93039,93067,127734752.11643107
93039,960759,02P206,
93055,960599,02P206,
93090,03S045,970819,41056045.11279108
93095,93098,091178,36664342.52558672
091178,93098,950314,
93098,071160,950314,
93096,93098,93095,49053115.104475915
960606,950264,940048,51038532.14399409
950253,940052,950245,
940053,02P111,950252,
960755,93019,93011,121080326.5064795
960755,93063,960758,92069326.46642898
93019,960755,960758,111417592.1698486
93024,950226,93021,
950243,950247,960569,157006286.6646076
950243,950235,950245,
950203,11S070,950201,123384381.95394999
091176,950203,950201,269267195.24374974
950203,091176,101181,255129900.63763216
020892,950150,020894,280706088.61926013
950150,020892,02P204,
950149,970794,960530,431299857.3088596
950364,940068,021009,235654576.193085
021008,950364,021009,189283301.49629202
940068,950364,960764,212134672.65933928
950364,950334,960764,204514827.7105166
950334,950364,021007,128092020.7229886
950351,950348,950349,106901625.76371093
960761,960763,950335,43358945.99631563
960763,950365,960764,76384733.96084283
950365,940068,960764,87802454.00235699
940068,950365,950366,112794004.62248218
960761,950365,960763,80412194.4683422
041139,03P214,950314,
03P214,041139,960637,
021010,950367,021009,182384443.95630753
021000,950367,111188,181657991.02978313
950367,021010,111188,195334647.89963797
021012,031111,950373,58689036.16480386
021012,031113,950376,50611332.99217783
950316,071155,03P214,
071155,950376,950314,
03P214,071155,950314,
071155,021012,950376,37144287.23731339
071155,950316,031111,69775390.75907688
021012,071155,031111,59084452.82842992
950320,950319,960639,179521497.36604768
950319,950322,960639,195610275.50214776
950319,950320,950318,109653180.46851847
960763,960760,950335,52995383.02049523
950334,960760,960763,126846145.7795133
950326,950334,021007,145670318.76653233
950339,950370,950366,120839089.592602
041130,970826,950373,150340824.74705884
021012,970826,031113,124854834.01049347
970826,021012,950373,146855133.62739086
950370,960650,051146,118870835.6784
960650,950368,051146,167906229.63708684
950339,960650,950370,62749161.69960376
960650,950339,950337,91451882.45390855
950368,021004,940069,118447788.60673174
960652,02P117,950369,
02P117,960652,940069,
02P117,021004,950369,
021004,02P117,940069,
950372,960652,03P215,
960652,950372,031109,74164459.35743673
960652,950422,03P215,
021046,950428,940077,
071161,020997,950306,105019736.3238801
041136,071161,071160,38914887.07356042
950306,950307,950314,
950307,031104,950314,73707656.87456493
031104,940065,950314,128699083.23851936
950317,950260,940056,108938308.54924747
950260,960580,940056,155133849.1905599
950352,960649,950354,116996509.03757223
950345,960649,950349,180042077.01522487
960649,950352,950349,156241937.20188722
960645,950327,950382,
960640,950327,960645,76506341.61153163
950327,950252,950382,
02P112,950327,020975,
950327,950259,020975,
020878,05S051,940009,95639969.47226737
940009,05S051,950167,
020878,950118,950113,203058376.47036174
05S050,960519,950119,43552447.79291467
960502,020853,020854,429287397.0766134
020853,960502,970780,382353276.28374916
960502,020854,940002,305722545.17975557
950103,960502,940002,
970780,960502,950103,
950126,950120,020875,244934422.05111268
950106,950120,970785,
950120,950106,020875,
950130,950140,960525,516638499.0000515
950140,950131,020888,350070841.302939
020888,950131,020875,
950131,950126,020875,
950130,950131,950140,500647475.21845126
081173,960533,950141,
960533,940016,950141,
960533,081173,020894,
940016,960533,950142,
960533,950158,950142,
940016,020890,950141,292179383.5354509
020890,940016,950142,199084549.7594051
950146,950140,950143,435250467.3217442
970794,950146,950143,371187948.5813237
940022,960529,02P204,
020892,940022,02P204,
950136,950139,950141,
960755,960754,93063,111849096.5834337
950110,020857,970782,317486533.9779415
950107,020857,020858,165898349.43786868
020857,950107,970782,277114516.1681634
950167,940019,111184,
960505,970784,940004,384610844.13800883
970784,020870,940004,317852810.335761
960503,02P202,020859,
950108,02P202,960503,
02P202,940004,020859,
02P202,960505,940004,
950116,020878,950113,306598442.8630968
020870,950116,950113,165999065.95025986
950112,05S053,940010,
950378,021014,021016,92540571.23227285
02P118,091180,960645,
091180,081167,960645,117291273.80818892
081167,960655,950341,162691031.29839405
091180,960655,081167,183865901.83241048
021014,960655,02P118,
960655,091180,02P118,
960655,970823,950341,201179003.14465043
970823,960655,950390,349721879.95136213
950328,960640,960645,199447914.94707087
021026,021015,950379,214511275.74109071
950383,960656,950382,
960656,021015,950382,
021018,960656,950383,
970829,940086,031118,232724699.93341422
960680,940086,970829,232645876.36159778
940086,970828,031118,365004733.6685162
940086,960680,960672,411207795.8419629
021035,960768,061151,233201358.65990916
950434,960680,031117,146715376.70985398
950436,950434,031117,179860791.88864875
960659,960658,021025,176375441.542883
940076,960659,021025,189893420.73048922
021037,960659,940076,432450887.5838267
950409,940076,950407,285915623.26047105
950409,021037,940076,314947387.15407014
021037,950409,950412,214267182.38738325
950411,950409,950407,243221980.51363197
950409,950411,950412,235562751.93944147
021024,02P209,950388,
960658,021024,950388,190646005.6387696
02P209,021024,940075,
021024,950399,940075,217536934.34632137
021021,950384,950386,112782984.06626819
950384,021021,021020,159364401.84349453
021023,950400,061151,237044298.36863798
021030,950385,021020,128978967.10968798
031126,021058,950449,118929574.73370585
031126,950449,021059,117097321.86600293
940085,031126,02P211,
031126,021059,02P211,
950448,051141,021058,103857167.93508969
041134,021049,950447,145021536.53032434
021049,041134,950436,153203192.0493291
021049,021050,950447,128966797.13946743
950443,031119,970830,150826003.8047016
021058,051142,950449,75116668.65669015
950449,051142,021059,81872173.94640431
041133,960681,031118,137997607.0510102
960681,970829,031118,187364830.6751768
960714,021076,950469,201038775.9014348
960715,950481,950482,305386319.4835109
960714,950481,021076,325182491.00696445
