st1,st2,st3,lon,lat,area
960605,051140,021098,143.76847110172798,23.153161739937897,
950497,950498,051140,130.88113346771098,23.667593406959703,
020859,950109,020848,144.0305451717,44.5283231733549,
950101,020859,020848,143.025193313607,44.96716006327709,
02P213,052007,021098,146.108150240415,26.147908645296898,
052007,960603,021098,146.097534235455,25.994993521671898,
960603,052007,02P213,142.169911646994,26.929515394138498,
960605,960604,02P213,141.588438293478,25.5390853197183,
960604,960603,02P213,141.87972010571698,26.1671446428381,
960604,960605,021098,145.516060881939,24.6045634472517,
960603,960604,021098,145.80734269417798,25.2326227703715,
960602,960605,02P213,141.06857384178898,28.0999328136912,
960605,960602,051140,139.030932113007,25.877357906076597,
950498,960751,051140,128.404064506047,23.077746903175797,
950102,02P201,020848,141.545443520052,45.39475982669099,
93022,960602,02P213,140.918061644514,31.7580894281112,
960602,02P208,051140,137.19257184075298,28.785454548995105,
960751,950500,131200,123.49796357853899,24.3114735055104,
950500,960698,131200,125.105641471338,27.1687801446039,
960747,960748,950498,125.06656594594799,24.7384207731804,
950456,950102,131200,131.14132941884696,34.7916764157402,
950376,960602,950314,137.488229861994,33.430275039493196,
950382,960527,950102,137.894292005052,41.2031326233318,
950456,950382,950102,134.573261241342,38.7350622287211,
960750,960751,950498,124.43498779007999,24.3820576760541,
960748,960750,950498,124.733822196984,24.5754101318748,
960750,950500,960751,123.907786772121,24.273119080336503,778438278.6092794
960743,960747,950498,125.748733372383,25.3071026136423,
960743,960748,960747,125.52163684763998,25.2699379398147,
960748,960743,960698,126.67098305819098,27.871783929527997,
031113,02P208,960602,137.11027031172898,33.1498612453437,
950376,031113,960602,137.159438414427,33.185846486459695,
020875,950106,950102,140.90142485835898,44.3368052683941,
960746,940085,02P211,131.87560490728802,30.092469597085497,
940085,960746,031122,132.798448263723,30.655465482199798,
960746,950497,051140,132.85322523214498,24.067757841847502,
031122,960746,051140,133.83656506499398,26.5458136774809,
960750,960749,950500,124.07625030408299,24.431478205840197,
960749,960750,960748,124.376354797299,24.503252127730196,
950500,960749,960698,125.558340263598,27.1963348368591,
960749,960748,960698,125.858444756814,27.2681087587491,
111190,950498,950497,128.076517570683,25.5568829121144,
960602,091178,950314,138.252999397392,33.7699876638333,
141202,091178,960602,139.020902472738,33.7517559238563,
950382,950252,960527,136.52144982966598,38.7282225977526,
950252,950232,960527,138.279012835788,39.4061730542601,
940008,950106,970785,141.389531759454,43.9640650408113,
950106,960501,950102,141.164338677681,44.9424139688007,
02P201,940001,020848,141.782827239306,45.4370971035399,35837772.14094892
